"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"BDL",1,1942.8,1356.7,1942.8,1356.7,-586.1,-30.17,5.78,""
"BEL",6,393.85,468.45,2363.1,2810.7,447.6,18.94,1.84,""
"BHEL",44,255.07,258.95,11223,11393.8,170.8,1.52,0.66,""
"BPCL",3,380.5,352.75,1141.5,1058.25,-83.25,-7.29,-2.11,""
"CASTROLIND",10,208.75,186.82,2087.5,1868.2,-219.3,-10.51,0.18,""
"COALINDIA",4,401,440.45,1604,1761.8,157.8,9.84,-1.99,""
"CYIENT",6,1252.6,884.85,7515.6,5309.1,-2206.5,-29.36,-0.11,""
"DIXON",2,11479,10033.6,22958,20067.2,-2890.8,-12.59,-1.9,""
"GAIL",6,171.64,155.71,1029.84,934.26,-95.58,-9.28,-0.65,""
"GATEWAY",166,66.68,57.04,11069.1,9468.64,-1600.46,-14.46,-0.09,""
"GOLDBEES",14,110.09,130.82,1541.22,1831.48,290.26,18.83,-1.07,""
"GOLDCASE",342,23.15,24.86,7916.94,8502.12,585.18,7.39,-1.15,""
"GRSE",2,3025.2,2523.2,6050.4,5046.4,-1004,-16.59,4.74,""
"HAL",2,4729.15,4024.1,9458.3,8048.2,-1410.1,-14.91,3.38,""
"HDFCBANK",23,936.32,857.1,21535.25,19713.3,-1821.95,-8.46,-2.39,""
"INDHOTEL",1,734.1,623.85,734.1,623.85,-110.25,-15.02,-0.93,""
"IREDA",100,208.63,117.28,20863,11728,-9135,-43.79,1.41,""
"IRFC",10,185.1,99.47,1851,994.7,-856.3,-46.26,0.63,""
"JSWENERGY",7,528.49,487.35,3699.45,3411.45,-288,-7.78,1.76,""
"JUNIORBEES",10,682.38,727.27,6823.77,7272.7,448.93,6.58,-0.19,""
"LENSKART",37,402,520.1,14874,19243.7,4369.7,29.38,-0.88,""
"LIQUIDCASE",39,112.37,113.05,4382.39,4408.95,26.56,0.61,0.04,""
"LT",7,3371.04,3949.8,23597.25,27648.6,4051.35,17.17,-2.2,""
"MIDHANI",10,426.2,352.85,4262,3528.5,-733.5,-17.21,2.68,""
"MSTCLTD",10,519.55,441.3,5195.5,4413,-782.5,-15.06,0.11,""
"NHPC",181,84.5,74.18,15293.84,13426.58,-1867.26,-12.21,0.04,""
"NIFTYBEES",53,254.32,277.25,13478.91,14694.25,1215.34,9.02,-1.11,""
"NTPC",4,334.55,380.6,1338.2,1522.4,184.2,13.76,0.67,""
"OIL",2,425.2,484.55,850.4,969.1,118.7,13.96,1.25,""
"ONGC",5,238.54,278.95,1192.7,1394.75,202.05,16.94,0.94,""
"POWERGRID",5,265.75,299.2,1328.75,1496,167.25,12.59,-0.08,""
"RECLTD",10,369.2,339.15,3692,3391.5,-300.5,-8.14,-0.79,""
"RELIANCE",1,1216.95,1405.2,1216.95,1405.2,188.25,15.47,1.11,""
"RVNL",10,378.8,286,3788,2860,-928,-24.5,2.42,""
"SBIN",13,802.78,1143.55,10436.2,14866.15,4429.95,42.45,-2.37,""
"SHYAMMETL",5,444.01,794.95,2220.05,3974.75,1754.7,79.04,-1.36,""
"SONATSOFTW",21,384.5,246.7,8074.5,5180.7,-2893.8,-35.84,-1.52,""
"SUZLON",43,57.55,39.99,2474.65,1719.57,-755.08,-30.51,-0.52,""
"TATACAP",4,341.35,318.45,1365.4,1273.8,-91.6,-6.71,-1.01,""
"TATACONSUM",3,852.17,1116.8,2556.5,3350.4,793.9,31.05,-0.27,""
"TATAPOWER",18,387.34,375.5,6972.2,6759,-213.2,-3.06,-0.36,""
"TATASTEEL",15,149.86,198.5,2247.96,2977.5,729.54,32.45,-1.05,""
"TATATECH",4,736.7,576.5,2946.8,2306,-640.8,-21.75,0.07,""
"TCI",5,1147,979,5735,4895,-840,-14.65,-1.43,""
"TCS",2,3187.15,2557.65,6374.3,5115.3,-1259,-19.75,-1,""
"TECHM",4,1059.9,1331.2,4239.6,5324.8,1085.2,25.6,-0.18,""
"TITAN",1,2654.2,4244.6,2654.2,4244.6,1590.4,59.92,-0.72,""
"TMCV",25,179.98,474.25,4499.56,11856.25,7356.69,163.5,-1.28,""
"TMPV",25,397.81,350.75,9945.24,8768.75,-1176.49,-11.83,-1.24,""
"UNOMINDA",1,604.8,1122.5,604.8,1122.5,517.7,85.6,0.32,""
"VOLTAS",2,842.38,1478.4,1684.75,2956.8,1272.05,75.5,-0.46,""
